current_bmi,activity_level,fitness_goal,age,gender,target_bmi
17.9,light,mild weight gain,44,female,21.2
15.5,moderate,lean muscle gain,18,female,21.8
17.8,sedentary,lean muscle gain,21,female,24.6
16.3,very active,extreme weight gain,56,male,19.0
15.8,moderate,lean muscle gain,30,female,20.6
16.6,active,lean muscle gain,58,male,18.9
17.5,sedentary,extreme weight gain,42,female,22.2
16.8,light,extreme weight gain,62,female,21.3
16.9,very active,aggressive weight gain,54,female,20.6
16.9,light,mild weight gain,31,male,24.7
16.5,moderate,mild weight gain,28,female,22.5
18.3,active,extreme weight gain,25,female,18.9
15.6,light,extreme weight gain,45,female,21.5
16.2,moderate,mild weight gain,26,male,20.2
16.4,very active,lean muscle gain,63,male,22.4
17.8,very active,mild weight gain,19,female,24.6
18.2,very active,lean muscle gain,50,female,24.0
17.8,sedentary,aggressive weight gain,38,female,24.8
16.3,moderate,mild weight gain,30,male,24.7
16.6,sedentary,lean muscle gain,23,female,21.2
17.8,moderate,lean muscle gain,40,male,24.9
17.5,moderate,mild weight gain,38,female,23.3
15.7,very active,lean muscle gain,21,female,20.1
18.0,light,extreme weight gain,48,female,23.3
15.1,moderate,aggressive weight gain,29,male,21.7
16.9,moderate,mild weight gain,34,female,22.1
16.6,very active,lean muscle gain,31,female,21.2
17.7,active,moderate weight gain,55,female,24.3
17.0,moderate,aggressive weight gain,51,female,21.0
16.9,active,moderate weight gain,34,male,21.4
17.7,sedentary,moderate weight gain,34,female,21.4
15.2,very active,moderate weight gain,30,female,18.8
17.2,moderate,mild weight gain,40,male,20.0
17.0,active,extreme weight gain,42,male,21.1
18.0,light,lean muscle gain,36,male,21.8
15.6,very active,lean muscle gain,23,male,20.3
16.8,light,mild weight gain,31,female,20.8
17.3,sedentary,mild weight gain,39,male,18.8
16.7,very active,mild weight gain,43,female,19.5
17.7,very active,extreme weight gain,32,male,23.3
16.3,light,extreme weight gain,40,female,21.6
16.6,moderate,aggressive weight gain,24,male,23.3
18.0,active,lean muscle gain,35,female,21.8
16.2,sedentary,lean muscle gain,45,female,21.0
16.9,light,extreme weight gain,42,male,23.9
16.2,light,aggressive weight gain,58,male,21.5
16.6,light,mild weight gain,61,male,22.2
16.3,active,moderate weight gain,51,male,20.7
16.2,very active,mild weight gain,50,male,24.8
15.3,active,aggressive weight gain,47,male,19.5
15.2,moderate,aggressive weight gain,48,female,23.9
17.4,light,extreme weight gain,45,male,24.9
17.9,sedentary,aggressive weight gain,19,male,23.7
16.8,very active,extreme weight gain,22,female,21.6
18.3,active,mild weight gain,37,male,23.1
16.8,very active,aggressive weight gain,53,male,23.0
16.8,light,moderate weight gain,22,male,18.8
16.9,light,extreme weight gain,18,male,19.8
17.3,moderate,aggressive weight gain,47,male,23.4
18.2,active,moderate weight gain,31,male,23.8
17.5,active,aggressive weight gain,52,male,24.5
17.5,very active,aggressive weight gain,58,male,22.2
15.7,very active,lean muscle gain,22,male,19.5
17.3,active,mild weight gain,62,female,21.8
16.3,moderate,lean muscle gain,55,male,23.7
17.5,sedentary,mild weight gain,50,male,21.7
16.3,moderate,aggressive weight gain,23,female,22.0
16.1,light,extreme weight gain,32,male,23.2
17.1,moderate,extreme weight gain,46,female,21.9
17.6,moderate,mild weight gain,21,female,23.0
17.4,light,mild weight gain,55,male,21.7
15.4,active,lean muscle gain,25,male,23.9
16.7,very active,moderate weight gain,44,male,21.1
17.0,light,aggressive weight gain,44,male,22.1
17.8,light,aggressive weight gain,29,female,24.6
17.0,sedentary,mild weight gain,64,female,21.7
18.0,active,extreme weight gain,22,female,24.5
15.1,sedentary,extreme weight gain,48,female,22.7
15.2,sedentary,aggressive weight gain,40,male,19.0
15.4,active,mild weight gain,18,male,24.8
16.1,very active,mild weight gain,26,female,20.0
17.7,sedentary,aggressive weight gain,42,female,18.5
18.1,light,aggressive weight gain,51,male,20.7
16.5,active,aggressive weight gain,41,male,19.9
16.7,sedentary,mild weight gain,46,male,21.2
15.9,light,lean muscle gain,24,male,19.9
18.3,active,lean muscle gain,57,male,19.5
16.0,moderate,aggressive weight gain,36,female,20.5
15.7,very active,lean muscle gain,47,female,19.7
16.9,moderate,moderate weight gain,19,female,18.9
16.5,moderate,extreme weight gain,18,female,21.1
17.9,light,moderate weight gain,36,female,24.6
16.8,active,moderate weight gain,24,male,23.6
16.4,moderate,aggressive weight gain,25,female,22.0
16.2,moderate,mild weight gain,45,male,22.1
17.5,moderate,extreme weight gain,54,female,23.7
15.7,light,moderate weight gain,24,male,20.4
15.7,very active,aggressive weight gain,53,male,18.7
16.4,very active,extreme weight gain,28,female,24.2
17.8,active,extreme weight gain,22,male,20.8
16.4,light,lean muscle gain,61,male,22.0
18.2,sedentary,moderate weight gain,47,female,23.4
18.4,sedentary,moderate weight gain,34,female,21.5
17.5,sedentary,mild weight gain,39,male,23.0
16.4,very active,lean muscle gain,51,male,19.3
17.3,very active,moderate weight gain,53,male,23.8
15.9,sedentary,moderate weight gain,29,male,22.0
15.4,moderate,mild weight gain,48,female,19.4
17.5,very active,mild weight gain,24,female,20.1
18.1,active,moderate weight gain,63,female,21.2
16.2,sedentary,aggressive weight gain,53,male,24.6
15.8,moderate,extreme weight gain,56,female,21.0
16.9,very active,mild weight gain,53,male,21.5
15.9,moderate,mild weight gain,62,male,22.3
16.1,very active,mild weight gain,26,female,23.4
17.5,moderate,moderate weight gain,42,male,21.7
15.3,active,extreme weight gain,47,female,19.0
17.0,active,aggressive weight gain,34,female,20.8
17.3,active,aggressive weight gain,25,male,21.8
17.7,sedentary,moderate weight gain,42,female,22.7
15.8,very active,moderate weight gain,64,female,24.8
17.4,light,lean muscle gain,39,female,24.4
16.1,sedentary,aggressive weight gain,25,female,19.3
16.4,active,aggressive weight gain,35,male,23.6
17.8,moderate,extreme weight gain,62,female,18.7
18.0,light,extreme weight gain,56,male,21.9
17.7,sedentary,lean muscle gain,35,male,21.9
18.0,light,aggressive weight gain,59,female,22.4
15.1,very active,moderate weight gain,49,female,24.1
17.7,active,lean muscle gain,46,female,24.9
16.6,active,mild weight gain,27,female,22.5
16.4,very active,mild weight gain,47,male,21.2
15.4,light,extreme weight gain,35,female,20.8
17.0,very active,mild weight gain,32,male,20.3
16.3,moderate,moderate weight gain,54,male,19.3
15.9,moderate,lean muscle gain,51,male,22.3
17.5,active,lean muscle gain,62,female,18.9
15.8,light,mild weight gain,20,female,19.6
16.2,sedentary,mild weight gain,52,female,18.9
18.4,light,aggressive weight gain,35,female,19.6
18.4,moderate,lean muscle gain,64,male,24.2
17.0,light,aggressive weight gain,58,female,22.2
15.9,sedentary,aggressive weight gain,42,female,19.3
17.9,sedentary,lean muscle gain,28,male,23.7
16.0,moderate,lean muscle gain,43,female,20.1
15.3,very active,extreme weight gain,22,male,19.9
17.9,very active,aggressive weight gain,20,female,21.7
17.3,very active,lean muscle gain,50,female,22.0
16.8,active,mild weight gain,58,male,24.1
17.8,light,extreme weight gain,44,female,23.0
15.6,very active,moderate weight gain,48,male,24.1
15.0,very active,moderate weight gain,53,female,23.7
17.8,light,lean muscle gain,63,male,21.7
18.3,light,extreme weight gain,41,male,22.5
17.7,light,mild weight gain,49,female,19.2
16.2,very active,lean muscle gain,39,female,22.5
15.6,active,aggressive weight gain,34,female,23.4
15.2,sedentary,moderate weight gain,35,female,22.2
18.4,active,extreme weight gain,52,female,22.8
17.6,moderate,mild weight gain,23,male,18.7
16.7,light,moderate weight gain,51,female,23.4
16.6,moderate,lean muscle gain,58,male,24.5
16.8,moderate,extreme weight gain,49,female,23.8
17.6,moderate,aggressive weight gain,20,male,20.0
18.3,very active,lean muscle gain,64,female,18.7
17.9,moderate,mild weight gain,22,male,24.7
16.1,light,lean muscle gain,52,female,20.6
18.0,light,extreme weight gain,33,male,23.1
18.3,sedentary,lean muscle gain,25,male,19.7
16.5,moderate,lean muscle gain,61,male,21.9
18.1,active,mild weight gain,47,female,24.7
17.0,active,extreme weight gain,26,female,22.4
15.8,very active,lean muscle gain,19,female,19.5
16.5,sedentary,lean muscle gain,35,female,24.8
16.3,moderate,lean muscle gain,42,male,21.6
18.2,moderate,aggressive weight gain,41,male,24.3
15.8,active,extreme weight gain,50,female,24.8
17.6,sedentary,moderate weight gain,50,male,24.5
18.0,very active,extreme weight gain,43,female,19.0
16.1,light,moderate weight gain,32,female,24.8
15.1,moderate,lean muscle gain,20,male,22.8
15.1,sedentary,moderate weight gain,29,female,24.5
18.2,active,aggressive weight gain,24,male,22.5
18.0,light,moderate weight gain,20,male,22.0
16.8,moderate,moderate weight gain,29,male,23.2
17.2,moderate,moderate weight gain,36,male,21.6
16.6,very active,lean muscle gain,49,male,23.3
15.5,moderate,lean muscle gain,49,female,18.6
18.3,light,aggressive weight gain,52,male,22.7
15.2,sedentary,extreme weight gain,47,male,18.7
17.5,active,lean muscle gain,21,female,23.3
16.3,light,mild weight gain,49,male,24.8
16.5,active,moderate weight gain,32,female,23.1
17.7,moderate,aggressive weight gain,29,male,22.7
17.1,sedentary,aggressive weight gain,43,female,22.5
16.4,light,extreme weight gain,31,female,22.4
16.7,very active,mild weight gain,64,female,21.1
16.8,light,mild weight gain,42,male,20.8
16.4,very active,mild weight gain,57,female,24.0
15.4,moderate,moderate weight gain,20,female,24.7
15.6,light,extreme weight gain,47,male,21.8
16.5,moderate,extreme weight gain,18,male,20.1
15.6,sedentary,aggressive weight gain,54,male,19.6
17.3,sedentary,extreme weight gain,45,male,21.5
18.0,very active,extreme weight gain,31,female,19.8
15.4,light,lean muscle gain,18,male,20.0
15.8,moderate,lean muscle gain,50,male,19.7
17.0,active,lean muscle gain,41,male,22.9
15.0,light,lean muscle gain,56,male,24.6
15.9,active,extreme weight gain,40,female,21.8
15.5,light,moderate weight gain,25,female,19.4
15.6,very active,lean muscle gain,64,female,23.2
15.9,light,aggressive weight gain,27,female,22.7
16.7,sedentary,extreme weight gain,44,female,22.5
17.7,sedentary,aggressive weight gain,48,female,24.4
17.8,sedentary,moderate weight gain,45,female,22.8
18.4,sedentary,mild weight gain,58,male,18.8
18.0,very active,mild weight gain,28,female,23.5
17.2,active,aggressive weight gain,23,female,23.4
17.6,moderate,lean muscle gain,28,male,23.6
15.4,sedentary,lean muscle gain,32,male,22.0
16.2,very active,aggressive weight gain,46,male,21.0
17.0,moderate,extreme weight gain,55,female,22.0
17.0,light,moderate weight gain,63,male,19.6
16.3,light,extreme weight gain,46,female,24.0
15.4,very active,extreme weight gain,53,male,19.5
16.3,light,extreme weight gain,60,male,22.0
17.8,very active,extreme weight gain,32,male,21.3
17.2,active,lean muscle gain,30,female,20.9
15.7,active,lean muscle gain,63,male,19.6
18.2,light,extreme weight gain,47,female,21.9
16.4,light,mild weight gain,47,male,24.8
15.4,very active,mild weight gain,59,male,24.0
15.9,active,mild weight gain,61,female,24.7
16.8,very active,lean muscle gain,39,female,19.2
15.8,light,moderate weight gain,59,female,19.9
17.6,moderate,lean muscle gain,21,female,22.1
17.5,light,mild weight gain,35,male,23.9
17.1,light,lean muscle gain,64,male,21.4
17.5,very active,mild weight gain,39,female,24.0
16.1,moderate,moderate weight gain,26,female,20.0
17.1,sedentary,moderate weight gain,52,male,18.9
17.4,very active,mild weight gain,28,male,21.1
16.2,active,moderate weight gain,55,female,23.7
18.1,active,lean muscle gain,50,female,23.4
15.7,moderate,mild weight gain,56,female,20.6
16.5,active,lean muscle gain,61,male,23.8
17.2,light,aggressive weight gain,61,male,20.2
16.6,light,extreme weight gain,19,female,19.7
16.9,active,extreme weight gain,53,male,23.2
15.6,sedentary,moderate weight gain,47,male,22.9
17.8,active,extreme weight gain,20,female,18.5
16.3,moderate,lean muscle gain,37,female,19.3
17.6,very active,extreme weight gain,23,female,20.1
15.3,sedentary,lean muscle gain,33,female,23.3
17.7,active,mild weight gain,40,female,23.0
16.2,light,aggressive weight gain,26,male,20.9
16.0,light,extreme weight gain,35,male,21.0
15.5,active,lean muscle gain,59,female,23.5
18.2,light,lean muscle gain,52,female,19.2
18.0,moderate,extreme weight gain,31,male,24.1
16.1,moderate,moderate weight gain,52,female,18.6
18.3,light,mild weight gain,19,male,22.2
16.6,sedentary,lean muscle gain,20,male,20.5
16.4,very active,moderate weight gain,25,male,19.4
15.1,active,lean muscle gain,29,female,19.4
15.4,active,moderate weight gain,46,female,22.3
17.9,moderate,moderate weight gain,40,male,18.5
16.3,light,moderate weight gain,42,female,22.1
16.6,sedentary,aggressive weight gain,26,male,23.3
15.3,moderate,extreme weight gain,50,female,23.5
17.2,very active,extreme weight gain,46,female,20.0
17.2,light,lean muscle gain,52,male,23.9
16.8,very active,lean muscle gain,39,male,21.6
15.0,moderate,lean muscle gain,55,male,21.2
17.0,very active,mild weight gain,30,male,22.9
17.8,very active,moderate weight gain,54,male,22.5
15.1,sedentary,extreme weight gain,28,male,20.9
16.7,very active,moderate weight gain,21,female,20.2
16.1,moderate,mild weight gain,46,female,23.2
17.9,light,lean muscle gain,58,female,21.0
17.7,sedentary,moderate weight gain,46,male,20.5
17.9,active,lean muscle gain,45,male,18.7
16.7,sedentary,mild weight gain,40,female,21.0
18.0,active,mild weight gain,40,male,19.2
15.2,moderate,mild weight gain,62,male,18.7
15.2,very active,extreme weight gain,38,female,18.6
16.2,moderate,extreme weight gain,32,male,20.4
17.2,moderate,moderate weight gain,22,male,19.7
17.2,light,extreme weight gain,34,male,23.4
17.7,sedentary,moderate weight gain,32,female,20.0
15.0,active,mild weight gain,58,male,20.1
16.8,light,moderate weight gain,38,female,18.8
16.0,very active,lean muscle gain,49,male,24.8
16.8,light,aggressive weight gain,27,male,22.4
15.4,sedentary,mild weight gain,57,male,22.3
16.9,light,extreme weight gain,47,female,21.0
15.4,sedentary,lean muscle gain,52,female,19.8
17.8,sedentary,extreme weight gain,58,male,24.0
15.9,very active,extreme weight gain,49,male,23.3
16.1,sedentary,extreme weight gain,46,male,23.3
15.6,active,aggressive weight gain,48,male,19.3
16.7,very active,aggressive weight gain,54,male,23.9
17.5,moderate,lean muscle gain,47,male,22.4
17.0,very active,moderate weight gain,33,female,24.1
15.8,sedentary,extreme weight gain,57,male,23.1
16.4,moderate,mild weight gain,27,male,23.6
17.5,moderate,moderate weight gain,58,female,22.4
17.7,light,moderate weight gain,29,male,22.0
15.0,very active,mild weight gain,37,male,23.3
17.6,moderate,lean muscle gain,21,male,23.9
16.5,moderate,moderate weight gain,54,female,23.1
16.4,very active,moderate weight gain,55,female,23.0
16.2,active,mild weight gain,24,female,23.6
16.7,very active,moderate weight gain,21,female,23.1
17.1,light,aggressive weight gain,48,female,22.8
17.8,moderate,lean muscle gain,29,female,21.7
18.3,active,aggressive weight gain,62,female,19.8
15.4,sedentary,moderate weight gain,45,male,23.2
17.6,very active,mild weight gain,34,female,23.2
17.2,moderate,extreme weight gain,28,male,23.5
16.9,sedentary,extreme weight gain,27,female,22.3
15.6,very active,mild weight gain,62,male,23.0
18.2,light,aggressive weight gain,22,male,20.2
16.6,very active,moderate weight gain,22,female,21.6
15.5,light,aggressive weight gain,18,female,19.0
17.5,active,extreme weight gain,48,female,23.4
17.2,active,moderate weight gain,47,female,24.6
15.9,active,moderate weight gain,33,female,20.1
17.6,very active,extreme weight gain,26,male,21.4
17.9,light,moderate weight gain,60,male,18.8
16.2,moderate,moderate weight gain,49,female,20.5
16.9,very active,moderate weight gain,43,female,19.3
17.7,very active,moderate weight gain,38,female,22.5
15.5,very active,mild weight gain,36,male,23.1
18.3,sedentary,lean muscle gain,58,male,22.4
15.5,light,mild weight gain,24,female,19.9
16.9,very active,lean muscle gain,51,female,21.8
17.5,sedentary,mild weight gain,51,female,18.9
15.8,light,lean muscle gain,22,female,23.9
17.3,light,moderate weight gain,33,female,19.9
16.6,active,extreme weight gain,27,male,23.3
15.2,very active,extreme weight gain,43,male,23.5
17.6,very active,extreme weight gain,45,female,23.3
15.8,light,extreme weight gain,43,male,21.4
15.1,moderate,extreme weight gain,50,female,18.9
16.7,active,mild weight gain,60,male,19.2
16.5,active,moderate weight gain,25,female,19.8
16.2,very active,lean muscle gain,25,male,23.3
17.2,light,moderate weight gain,37,female,19.8
17.7,moderate,lean muscle gain,20,male,20.5
15.9,sedentary,extreme weight gain,18,male,24.8
15.6,active,aggressive weight gain,54,female,24.2
17.7,moderate,mild weight gain,29,male,24.7
16.7,very active,lean muscle gain,38,female,24.7
17.2,light,aggressive weight gain,44,male,19.6
16.9,sedentary,extreme weight gain,51,female,21.9
15.3,very active,extreme weight gain,46,male,23.2
17.8,moderate,extreme weight gain,61,male,22.0
16.6,active,mild weight gain,38,female,23.8
16.7,active,moderate weight gain,38,female,23.8
17.8,very active,aggressive weight gain,51,male,19.1
17.5,moderate,mild weight gain,40,female,19.7
17.0,active,aggressive weight gain,47,male,23.2
15.9,very active,moderate weight gain,19,male,18.7
17.3,sedentary,extreme weight gain,18,female,18.9
15.2,moderate,extreme weight gain,42,male,19.0
16.0,moderate,mild weight gain,63,female,19.9
18.2,sedentary,aggressive weight gain,30,male,24.1
15.9,moderate,aggressive weight gain,40,male,24.3
15.4,active,lean muscle gain,25,female,21.4
16.3,moderate,extreme weight gain,42,female,24.8
17.5,sedentary,aggressive weight gain,63,male,24.4
17.8,active,extreme weight gain,62,male,23.0
17.1,active,mild weight gain,36,male,22.1
16.5,very active,lean muscle gain,53,female,19.9
15.9,sedentary,extreme weight gain,42,female,18.8
17.0,moderate,mild weight gain,21,male,20.4
18.1,sedentary,lean muscle gain,63,female,24.0
18.0,very active,mild weight gain,47,female,19.7
17.0,light,lean muscle gain,38,male,24.9
15.9,active,mild weight gain,26,male,19.9
15.1,light,mild weight gain,25,male,24.1
17.4,active,mild weight gain,36,female,19.0
15.6,very active,aggressive weight gain,55,female,19.6
17.7,active,extreme weight gain,21,female,22.6
17.7,active,moderate weight gain,41,female,24.7
16.6,sedentary,moderate weight gain,34,male,24.8
16.6,moderate,extreme weight gain,59,male,18.8
16.5,moderate,aggressive weight gain,62,female,21.5
15.7,sedentary,mild weight gain,25,male,21.8
17.9,very active,lean muscle gain,59,male,20.3
15.2,very active,mild weight gain,58,male,20.3
15.4,sedentary,lean muscle gain,28,female,20.7
18.4,very active,mild weight gain,57,female,19.3
17.5,very active,lean muscle gain,62,female,24.1
17.3,light,extreme weight gain,22,female,20.4
17.9,very active,mild weight gain,64,female,18.5
17.3,sedentary,extreme weight gain,35,male,19.2
15.4,active,mild weight gain,50,female,21.2
15.3,light,lean muscle gain,58,female,20.8
16.2,light,moderate weight gain,26,male,22.3
15.5,moderate,lean muscle gain,19,male,19.6
15.2,light,mild weight gain,58,female,21.9
16.8,very active,moderate weight gain,54,male,21.4
17.7,sedentary,mild weight gain,55,female,19.9
16.3,active,aggressive weight gain,62,male,24.0
16.8,active,extreme weight gain,51,female,24.0
17.8,sedentary,aggressive weight gain,49,female,24.0
16.3,active,mild weight gain,41,male,18.7
16.7,active,lean muscle gain,18,male,19.6
18.2,light,extreme weight gain,35,female,20.7
15.0,moderate,aggressive weight gain,55,female,21.0
17.1,active,extreme weight gain,55,male,20.8
15.4,light,lean muscle gain,47,female,19.6
18.3,very active,extreme weight gain,43,male,21.9
15.7,moderate,moderate weight gain,23,male,24.4
15.5,light,lean muscle gain,54,female,21.6
16.3,active,moderate weight gain,26,male,21.5
15.3,active,mild weight gain,62,female,22.4
16.2,very active,mild weight gain,30,female,22.0
15.6,moderate,aggressive weight gain,59,female,20.1
15.9,sedentary,lean muscle gain,63,male,19.7
15.9,active,aggressive weight gain,18,female,24.7
17.0,very active,moderate weight gain,28,female,24.9
16.4,active,moderate weight gain,57,female,24.9
16.9,very active,lean muscle gain,25,female,22.5
17.9,moderate,aggressive weight gain,51,male,23.0
16.2,very active,aggressive weight gain,56,female,21.4
15.2,sedentary,moderate weight gain,29,female,22.9
15.5,active,extreme weight gain,49,female,21.5
17.0,moderate,mild weight gain,41,male,20.9
16.3,sedentary,aggressive weight gain,34,male,21.8
18.0,active,aggressive weight gain,64,male,21.4
17.0,moderate,mild weight gain,25,female,23.7
15.0,sedentary,aggressive weight gain,55,male,22.6
16.5,very active,moderate weight gain,49,female,21.8
17.3,light,moderate weight gain,38,female,23.1
17.8,moderate,mild weight gain,47,male,20.6
18.4,light,mild weight gain,57,male,19.8
15.0,active,mild weight gain,54,male,18.8
15.2,very active,extreme weight gain,26,male,18.5
18.0,sedentary,moderate weight gain,63,female,23.0
16.4,moderate,aggressive weight gain,25,male,21.1
17.1,light,lean muscle gain,36,male,22.2
18.0,sedentary,moderate weight gain,59,female,22.9
17.4,light,moderate weight gain,30,female,18.8
16.0,moderate,aggressive weight gain,46,male,20.0
16.6,sedentary,lean muscle gain,30,male,19.9
15.7,sedentary,mild weight gain,40,female,21.2
16.5,active,extreme weight gain,49,female,22.2
15.8,active,lean muscle gain,41,male,23.1
16.9,very active,aggressive weight gain,40,female,21.8
15.9,light,moderate weight gain,51,male,21.7
15.2,sedentary,mild weight gain,46,female,23.3
17.4,sedentary,moderate weight gain,25,male,22.3
16.2,very active,extreme weight gain,28,male,24.5
16.2,moderate,moderate weight gain,61,female,20.2
17.7,very active,aggressive weight gain,23,female,24.2
18.2,sedentary,moderate weight gain,40,female,22.8
16.9,sedentary,moderate weight gain,64,male,24.5
15.9,very active,mild weight gain,41,female,24.1
15.4,sedentary,mild weight gain,38,female,22.8
17.7,light,mild weight gain,54,female,22.6
18.3,sedentary,aggressive weight gain,64,female,21.7
15.7,active,mild weight gain,24,male,20.9
15.6,active,moderate weight gain,33,male,22.0
17.2,sedentary,extreme weight gain,62,male,21.5
17.1,active,moderate weight gain,20,female,20.4
18.3,active,mild weight gain,53,male,18.8
16.0,sedentary,mild weight gain,27,male,20.9
15.9,very active,lean muscle gain,55,female,23.8
17.9,light,aggressive weight gain,42,male,23.0
16.4,active,lean muscle gain,60,male,21.9
18.3,sedentary,extreme weight gain,45,female,21.8
17.6,light,extreme weight gain,44,female,21.8
15.1,sedentary,moderate weight gain,54,female,23.4
16.5,sedentary,mild weight gain,24,female,20.6
17.2,moderate,lean muscle gain,53,male,22.2
18.3,sedentary,aggressive weight gain,25,male,23.9
17.1,very active,aggressive weight gain,21,female,20.4
15.2,light,moderate weight gain,45,male,20.0
17.5,light,extreme weight gain,43,female,21.5
18.2,active,moderate weight gain,28,male,23.5
16.9,sedentary,aggressive weight gain,43,female,23.5
17.1,sedentary,moderate weight gain,62,male,24.2
15.5,active,extreme weight gain,28,male,23.7
17.8,active,mild weight gain,64,male,24.6
17.4,sedentary,moderate weight gain,22,female,18.9
17.1,sedentary,moderate weight gain,55,male,21.4
17.6,light,lean muscle gain,63,male,20.8
17.1,light,moderate weight gain,63,male,24.4
16.6,very active,extreme weight gain,62,male,22.1
17.3,moderate,lean muscle gain,28,male,19.4
15.8,active,aggressive weight gain,43,female,24.6
16.9,sedentary,moderate weight gain,36,male,20.2
15.2,light,extreme weight gain,61,male,22.5
17.5,sedentary,aggressive weight gain,60,male,20.8
18.2,very active,moderate weight gain,25,female,24.7
17.4,sedentary,aggressive weight gain,56,male,20.1
15.6,very active,extreme weight gain,26,male,22.1
15.0,active,moderate weight gain,60,male,20.8
15.8,light,aggressive weight gain,39,male,20.6
15.8,active,lean muscle gain,62,female,21.1
18.1,moderate,moderate weight gain,18,female,19.5
16.7,moderate,extreme weight gain,37,male,21.6
15.1,moderate,moderate weight gain,31,male,18.9
17.7,active,lean muscle gain,44,female,20.1
17.2,light,moderate weight gain,62,female,20.0
15.3,moderate,mild weight gain,58,male,21.7
15.1,light,lean muscle gain,58,male,19.6
16.5,moderate,lean muscle gain,52,female,23.1
17.6,active,moderate weight gain,57,male,20.3
16.4,light,extreme weight gain,32,female,23.5
